species,endpoint,metric,baseline,ce50,improvement,improvement_pct,p_value,significant
Rat,rat_VDss_L_kg,r2,0.9114843554775567,1.0,0.08851564452244332,9.711153459794387,2.0514299615174125e-52,True
Rat,rat_VDss_L_kg,rmse,1.9628272723162674,0.0,-1.9628272723162674,-100.0,2.0514299615174125e-52,True
Rat,rat_VDss_L_kg,gmfe,4.714470066598893,1.0,-3.714470066598893,-78.78870825620878,2.0514299615174125e-52,True
Rat,rat_VDss_L_kg,fold2,14.563106796116504,100.0,85.4368932038835,586.6666666666667,2.0514299615174125e-52,True
Rat,rat_VDss_L_kg,fold3,21.35922330097087,100.0,78.64077669902913,368.18181818181824,2.0514299615174125e-52,True
Rat,rat_VDss_L_kg,fold5,30.42071197411003,100.0,69.57928802588997,228.72340425531914,2.0514299615174125e-52,True
Rat,rat_VDss_L_kg,bias,-0.07113411835421601,0.0,0.07113411835421601,100.0,2.0514299615174125e-52,True
Rat,rat_CL_mL_min_kg,r2,0.9125583819235518,1.0,0.08744161807644824,9.582030016768124,6.920483812662322e-54,True
Rat,rat_CL_mL_min_kg,rmse,21.064536222494734,0.0,-21.064536222494734,-100.0,6.920483812662322e-54,True
Rat,rat_CL_mL_min_kg,gmfe,15129126.005971601,1.0,-15129125.005971601,-99.99999339023286,6.920483812662322e-54,True
Rat,rat_CL_mL_min_kg,fold2,1.5723270440251573,100.0,98.42767295597484,6259.999999999999,6.920483812662322e-54,True
Rat,rat_CL_mL_min_kg,fold3,2.20125786163522,100.0,97.79874213836479,4442.857142857143,6.920483812662322e-54,True
Rat,rat_CL_mL_min_kg,fold5,3.459119496855346,100.0,96.54088050314465,2790.9090909090905,6.920483812662322e-54,True
Rat,rat_CL_mL_min_kg,bias,-0.24178658314566892,0.0,0.24178658314566892,100.0,6.920483812662322e-54,True
Rat,rat_fup,r2,0.9209789277422341,1.0,0.07902107225776589,8.580117294484126,4.998116321424054e-37,True
Rat,rat_fup,rmse,0.09227426803260137,0.0,-0.09227426803260137,-100.0,4.998116321424054e-37,True
Rat,rat_fup,gmfe,1.076588844727288,1.0,-0.076588844727288,-7.114029195304249,4.998116321424054e-37,True
Rat,rat_fup,fold2,100.0,100.0,0.0,0.0,4.998116321424054e-37,True
Rat,rat_fup,fold3,100.0,100.0,0.0,0.0,4.998116321424054e-37,True
Rat,rat_fup,fold5,100.0,100.0,0.0,0.0,4.998116321424054e-37,True
Rat,rat_fup,bias,-0.004878109630977123,0.0,0.004878109630977123,100.0,4.998116321424054e-37,True
Human,human_VDss_L_kg,r2,0.9147105912186579,1.0,0.08528940878134206,9.32419604628301,8.346483508621255e-206,True
Human,human_VDss_L_kg,rmse,6.222505080363564,0.0,-6.222505080363564,-100.0,8.346483508621255e-206,True
Human,human_VDss_L_kg,gmfe,138.43577635845963,1.0,-137.43577635845963,-99.27764337636924,8.346483508621255e-206,True
Human,human_VDss_L_kg,fold2,3.843074459567654,100.0,96.15692554043234,2502.083333333333,8.346483508621255e-206,True
Human,human_VDss_L_kg,fold3,6.00480384307446,100.0,93.99519615692554,1565.3333333333333,8.346483508621255e-206,True
Human,human_VDss_L_kg,fold5,9.047237790232186,100.0,90.95276220976781,1005.3097345132743,8.346483508621255e-206,True
Human,human_VDss_L_kg,bias,0.10892791599066243,0.0,-0.10892791599066243,-100.0,8.346483508621255e-206,True
Human,human_CL_mL_min_kg,r2,0.9073752837388911,1.0,0.09262471626110891,10.207983170915075,5.063948474779904e-211,True
Human,human_CL_mL_min_kg,rmse,15.190335898457425,0.0,-15.190335898457425,-100.0,5.063948474779904e-211,True
Human,human_CL_mL_min_kg,gmfe,172882.54293679423,1.0,-172881.54293679423,-99.99942157259893,5.063948474779904e-211,True
Human,human_CL_mL_min_kg,fold2,2.185792349726776,100.0,97.81420765027322,4474.999999999999,5.063948474779904e-211,True
Human,human_CL_mL_min_kg,fold3,2.888368462138954,100.0,97.11163153786104,3362.162162162162,5.063948474779904e-211,True
Human,human_CL_mL_min_kg,fold5,3.9032006245121003,100.0,96.0967993754879,2461.9999999999995,5.063948474779904e-211,True
Human,human_CL_mL_min_kg,bias,0.7692929223502887,0.0,-0.7692929223502887,-100.0,5.063948474779904e-211,True
Human,human_fup,r2,0.916199601242402,1.0,0.08380039875759804,9.146522072696984,1.802740183912004e-145,True
Human,human_fup,rmse,0.09864678762860345,0.0,-0.09864678762860345,-100.0,1.802740183912004e-145,True
Human,human_fup,gmfe,1.0804748699444073,1.0,-0.08047486994440733,-7.448101958035168,1.802740183912004e-145,True
Human,human_fup,fold2,99.20364050056882,100.0,0.7963594994311762,0.8027522935779862,1.802740183912004e-145,True
Human,human_fup,fold3,100.0,100.0,0.0,0.0,1.802740183912004e-145,True
Human,human_fup,fold5,100.0,100.0,0.0,0.0,1.802740183912004e-145,True
Human,human_fup,bias,0.004848514448179686,0.0,-0.004848514448179686,-100.0,1.802740183912004e-145,True
